Data Filename,Sample Name,Sample ID,nitrous oxide,SF6,CO,CH4,CO2
C:\LabSolutions\Data\Project1\240301\312024_143_033.gcd,143,,0.221,-----,0,5.789,"1,729.84"
C:\LabSolutions\Data\Project1\240301\312024_147_034.gcd,147,,0.169,-----,0,29.133,220.807
C:\LabSolutions\Data\Project1\240301\312024_148_035.gcd,148,,2.238,-----,0,0.687,"3,779.57"
C:\LabSolutions\Data\Project1\240301\312024_150_036.gcd,150,,0.163,-----,0,26.683,"1,749.24"
C:\LabSolutions\Data\Project1\240301\312024_162_037.gcd,162,,0.041,-----,0,92.353,"3,195.04"
C:\LabSolutions\Data\Project1\240301\312024_166_038.gcd,166,,0.106,-----,0,589.225,"11,872.65"
C:\LabSolutions\Data\Project1\240301\312024_184_039.gcd,184,,-0.004,-----,0,16.44,"5,501.70"
C:\LabSolutions\Data\Project1\240301\312024_185_040.gcd,185,,-----,-----,0,22.524,"13,470.95"
C:\LabSolutions\Data\Project1\240301\312024_187_041.gcd,187,,-0.078,-----,0,24.433,"11,726.49"
C:\LabSolutions\Data\Project1\240301\312024_190_042.gcd,190,,0.089,-----,0,358.367,"10,333.19"
C:\LabSolutions\Data\Project1\240301\312024_197_043.gcd,197,,0.064,-----,0,151.021,"2,605.09"
C:\LabSolutions\Data\Project1\240301\312024_204_044.gcd,204,,-0.156,-----,0,527.523,"9,661.33"
C:\LabSolutions\Data\Project1\240301\312024_210_045.gcd,210,,-0.052,-----,0,16.765,"5,701.89"
C:\LabSolutions\Data\Project1\240301\312024_211_046.gcd,211,,0.03,-----,0,499.67,"10,820.37"
C:\LabSolutions\Data\Project1\240301\312024_215_047.gcd,215,,-0.151,-----,0,"1,302.85","5,198.90"
C:\LabSolutions\Data\Project1\240301\312024_217_048.gcd,217,,-----,-----,0,6.711,"10,964.17"
C:\LabSolutions\Data\Project1\240229\2292024_225_011.gcd,225,,0.15,-----,0,646.142,"3,924.42"
C:\LabSolutions\Data\Project1\240229\2292024_227_010.gcd,227,,0.138,-----,0,659.953,"8,269.56"
C:\LabSolutions\Data\Project1\240229\2292024_237_012.gcd,237,,-0.024,-----,0,13.276,"3,115.83"
C:\LabSolutions\Data\Project1\240229\2292024_241_013.gcd,241,,0.162,-----,0,5.562,"3,869.95"
C:\LabSolutions\Data\Project1\240229\2292024_243_014.gcd,243,,-0.246,-----,0,5.639,"3,944.23"
C:\LabSolutions\Data\Project1\240229\2292024_260_015.gcd,260,,4.498,-----,0,-----,"3,309.22"
C:\LabSolutions\Data\Project1\240229\2292024_290_016.gcd,290,,0.051,-----,0,20.453,"1,378.55"
C:\LabSolutions\Data\Project1\240301\312024_410_008.gcd,410,,0.023,-----,0,4.16,272.42
C:\LabSolutions\Data\Project1\240301\312024_411_012.gcd,411,,0.03,-----,0,4.38,274.723
C:\LabSolutions\Data\Project1\240301\312024_412_009.gcd,412,,0.036,-----,0,4.312,264.023
C:\LabSolutions\Data\Project1\240301\312024_413_006.gcd,413,,0.019,-----,0,4.902,251.708
C:\LabSolutions\Data\Project1\240301\312024_414_011.gcd,414,,0.012,-----,0,4.161,227.155
C:\LabSolutions\Data\Project1\240301\312024_415_019.gcd,415,,0.015,-----,0,5.7,230.103
C:\LabSolutions\Data\Project1\240301\312024_501_014.gcd,501,,0.023,-----,0,3.758,365.606
C:\LabSolutions\Data\Project1\240301\312024_502_023.gcd,502,,0.036,-----,0,3.796,368.632
C:\LabSolutions\Data\Project1\240301\312024_503_013.gcd,503,,0.034,-----,0,4.619,253.453
C:\LabSolutions\Data\Project1\240301\312024_503_024.gcd,503,,0.04,-----,0,5.862,212.628
C:\LabSolutions\Data\Project1\240229\2292024_504_019.gcd,504,,0.009,-----,0,3.664,329.512
C:\LabSolutions\Data\Project1\240301\312024_505_016.gcd,505,,0.02,-----,0,3.649,324.805
C:\LabSolutions\Data\Project1\240301\312024_506_017.gcd,506,,0.027,-----,0,3.946,347.086
C:\LabSolutions\Data\Project1\240229\2292024_507_018.gcd,507,,0.009,-----,0,4.37,275.129
C:\LabSolutions\Data\Project1\240301\312024_508_010.gcd,508,,0.004,-----,0,4.031,274.96
C:\LabSolutions\Data\Project1\240229\2292024_509_017.gcd,509,,-0.075,-----,0,3.53,289.781
C:\LabSolutions\Data\Project1\240301\312024_516_025.gcd,516,,0.041,-----,0,5.113,227.461
C:\LabSolutions\Data\Project1\240301\312024_517_022.gcd,517,,0.014,-----,0,4.02,234.015
C:\LabSolutions\Data\Project1\240301\312024_518_005.gcd,518,,0.043,-----,0,4.014,238.393
C:\LabSolutions\Data\Project1\240301\312024_519_020.gcd,519,,0.027,-----,0,3.932,350.801
C:\LabSolutions\Data\Project1\240301\312024_520_015.gcd,520,,0.041,-----,0,5.375,381.261
C:\LabSolutions\Data\Project1\240301\312024_521_021.gcd,521,,0.025,-----,0,4.496,340.198
C:\LabSolutions\Data\Project1\240301\312024_522_018.gcd,522,,0.037,-----,0,5.835,204.482
C:\LabSolutions\Data\Project1\240301\312024_524_007.gcd,524,,0.025,-----,0,6.649,175.838
C:\LabSolutions\Data\Project1\240229\2292024_601_004.gcd,601,,0.011,-----,0,17.652,375.117
C:\LabSolutions\Data\Project1\240229\2292024_603_023.gcd,603,,0.041,-----,0,17.762,397.93
C:\LabSolutions\Data\Project1\240229\2292024_604_010.gcd,604,,0.023,-----,0,15.227,321.753
C:\LabSolutions\Data\Project1\240229\2292024_605_006.gcd,605,,0.042,-----,0,18.656,317.68
C:\LabSolutions\Data\Project1\240229\2292024_606_007.gcd,606,,0.037,-----,0,16.524,321.667
C:\LabSolutions\Data\Project1\240229\2292024_607_021.gcd,607,,0.03,-----,0,17.689,297.593
C:\LabSolutions\Data\Project1\240229\2292024_608_013.gcd,608,,0.025,-----,0,3.551,323.927
C:\LabSolutions\Data\Project1\240229\2292024_609_009.gcd,609,,0.035,-----,0,16.838,295.395
C:\LabSolutions\Data\Project1\240229\2292024_610_022.gcd,610,,0.115,-----,0,23.98,646.84
C:\LabSolutions\Data\Project1\240229\2292024_611_016.gcd,611,,0.102,-----,0,28.83,650.526
C:\LabSolutions\Data\Project1\240229\2292024_612_015.gcd,612,,0.089,-----,0,23.897,507.529
C:\LabSolutions\Data\Project1\240229\2292024_613_012.gcd,613,,0.066,-----,0,17.301,374.955
C:\LabSolutions\Data\Project1\240229\2292024_614_014.gcd,614,,0.059,-----,0,20.212,351.336
C:\LabSolutions\Data\Project1\240229\2292024_615_008.gcd,615,,0.072,-----,0,19.54,387.01
C:\LabSolutions\Data\Project1\240229\2292024_616_002.gcd,616,,0.048,-----,0,18.149,285.09
C:\LabSolutions\Data\Project1\240229\2292024_617_005.gcd,617,,0.045,-----,0,20.391,263.708
C:\LabSolutions\Data\Project1\240229\2292024_618_020.gcd,618,,0.057,-----,0,17.123,288.625
C:\LabSolutions\Data\Project1\240229\2292024_619_018.gcd,619,,0.069,-----,0,10.91,273.841
C:\LabSolutions\Data\Project1\240229\2292024_620_024.gcd,620,,0.08,-----,0,9.513,279.256
C:\LabSolutions\Data\Project1\240229\2292024_621_001.gcd,621,,0.05,-----,0,9.882,259.083
C:\LabSolutions\Data\Project1\240229\2292024_622_011.gcd,622,,-----,-----,-----,-----,-----
C:\LabSolutions\Data\Project1\240229\2292024_623_019.gcd,623,,0.056,-----,0,11.544,322.154
C:\LabSolutions\Data\Project1\240229\2292024_624_017.gcd,624,,0.038,-----,0,10.994,315.188
C:\LabSolutions\Data\Project1\240229\2292024_607$_003.gcd,607?,,0.024,-----,0,15.748,394.054
C:\LabSolutions\Data\Project1\240301\312024_kblank7_026.gcd,kblank7,,-----,-----,-----,-----,-86.915
C:\LabSolutions\Data\Project1\240301\312024_kblank9_027.gcd,kblank9,,-----,-----,-----,-----,-90.42
C:\LabSolutions\Data\Project1\240301\312024_kblk10_032.gcd,kblk10,,-----,-----,0,-----,-90.454
C:\LabSolutions\Data\Project1\240229\2292024_KW_292_008.gcd,292,,0.212,-----,0,6.877,"8,715.17"
C:\LabSolutions\Data\Project1\240229\2292024_Nitrogen_020.gcd,Nitrogen,,0.003,-----,0,-----,376.186
C:\LabSolutions\Data\Project1\240229\2292024_Pure N2_001.gcd,Pure N2,,-0.073,-----,0,0.536,401.931
C:\LabSolutions\Data\Project1\240229\2292024_Pure N2_001.gcd,Pure N2,,-0.073,-----,0,0.536,401.931
C:\LabSolutions\Data\Project1\240229\2292024_Standard  1_002.gcd,Standard  1,,-----,-----,-----,-----,-9.584
C:\LabSolutions\Data\Project1\240301\312024_Standard  1_028.gcd,Standard  1,,-0.393,-----,0,-----,28.91
C:\LabSolutions\Data\Project1\240301\312024_Standard  1_001.gcd,Standard  1,,-----,-----,0,-----,32.17
C:\LabSolutions\Data\Project1\240229\2292024_Standard  1_002.gcd,Standard  1,,-----,-----,-----,-----,-9.584
C:\LabSolutions\Data\Project1\240229\2292024_Standard  1_021.gcd,Standard  1,,-----,-----,-----,-----,-8.349
C:\LabSolutions\Data\Project1\240301\312024_Standard  3_029.gcd,Standard  3,,0.968,-----,0,4.488,952.538
C:\LabSolutions\Data\Project1\240229\2292024_Standard  3_003.gcd,Standard  3,,0.885,-----,-----,4.83,891.339
C:\LabSolutions\Data\Project1\240229\2292024_Standard  3_003.gcd,Standard  3,,0.885,-----,-----,4.83,891.339
C:\LabSolutions\Data\Project1\240229\2292024_Standard  3_022.gcd,Standard  3,,0.917,-----,-----,4.89,895.346
C:\LabSolutions\Data\Project1\240301\312024_Standard  3_002.gcd,Standard  3,,0.978,-----,0,5.009,950.418
C:\LabSolutions\Data\Project1\240301\312024_Standard  4_030.gcd,Standard  4,,4.968,-----,0,26.916,"1,669.70"
C:\LabSolutions\Data\Project1\240301\312024_Standard  4_003.gcd,Standard  4,,5.203,-----,0,28.5,"1,741.81"
C:\LabSolutions\Data\Project1\240229\2292024_Standard  4_004.gcd,Standard  4,,5.229,-----,-----,29.564,"1,755.44"
C:\LabSolutions\Data\Project1\240229\2292024_Standard  4_004.gcd,Standard  4,,5.229,-----,-----,29.564,"1,755.44"
C:\LabSolutions\Data\Project1\240229\2292024_Standard  4_023.gcd,Standard  4,,5.277,-----,-----,29.865,"1,766.99"
C:\LabSolutions\Data\Project1\240301\312024_Standard  5_004.gcd,Standard  5,,24.376,-----,0,179.137,"9,512.07"
C:\LabSolutions\Data\Project1\240301\312024_Standard  5_031.gcd,Standard  5,,25.868,-----,0,192.516,"10,200.80"
C:\LabSolutions\Data\Project1\240229\2292024_Standard  5_024.gcd,Standard  5,,24.571,-----,-----,196.678,"9,910.30"
C:\LabSolutions\Data\Project1\240229\2292024_Standard  5_005.gcd,Standard  5,,24.959,-----,-----,200.07,"10,060.87"
C:\LabSolutions\Data\Project1\240229\2292024_Standard  5_005.gcd,Standard  5,,24.959,-----,-----,200.07,"10,060.87"
C:\LabSolutions\Data\Project1\240229\2292024_Tbland9_007.gcd,Tbland9,,0.003,-----,0,0.442,364.535
C:\LabSolutions\Data\Project1\240229\2292024_Tblank7_009.gcd,Tblank7,,-0.101,-----,0,-----,378.38
C:\LabSolutions\Data\Project1\240229\2292024_TedlarB8_006.gcd,TedlarB8,,0.004,-----,0,0.563,384.081